Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
iPower Electric Heater Fan for Greenhouse Grow Tent Workplace Fast Heating IPX4,62.99,363 sold,"['We are using this little heater to help keep a small greenhouse warm at night. The heater appears to be well-made and is quiet. So far so good.', ""So far working well. Hasn't got super cold yet. Easy to use. Fans stays on all the time. "", 'Very good quality. Plenty of heat for my 8X8 greenhouse. Bower speed just about perfect. Good heat regulation. Highly recommend this heater.', 'a hair dryer would do the same job and the wattage was ok but the fan didn’t put out ', 'works well for my needs in my greenhouse.  keeps the temp even evernight', 'Gives off strong dependable heat', 'Great little heater.Well built.So far so good!', 'Very good product', 'Works as you’d expect. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Electric Heater Fan,810000179237,Electric,Black,GLHTGH100BV1,12.4in.,Universal,Coil,iPower,2-Way,Steel,Electric Heater Fan,Analog/Mechanical,Forced Air/Fan,120 V,GLHTGH100BV1,Floor,8.3in.,1500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm 1400W Portable Electric Fireplace Heater Log Flame Stove Free Standing US,,183 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,Zokop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heater Over Door Wall fan workshop electric Timer mounted Remote ,49.95,77 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,"Wall fan Heater, Electric, Fan",,LG LW20,,,,BAWA,,PTC,Over Door Fan/Heather,"Remote Control, Touch",Forced Air/Fan,,2020,"Roof, Wall, Window",,2000W,White,PTC,"wall mounted Remote, Timer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200W Mini Portable Fast Heater Heated Heating Electric Hot Fan Winter Radiator,62.69,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Black,Does Not Apply,,Thermostat,,Unbranded,,Ceramic,"Portable Heater, 	Fan Heater",Push Button,,220V/110V,,"Cabinet, Desk/Tabletop, Floor",,1200W,,Flame retardant ABS+PTC ceramics enthusiast,Thermostat,2,Thermostat,China,Thermostat,1.2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iHeater Portable Electric Infrared Heater w/remote Model IH1500 5 Element 1500W ,65.0, , ,,,,Electric,,IH1500,,,,iheater,,,Portable Heater,,,,iHeater IH-1500,,,,,,,,Infrared,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Vornado 1500W Electric Whole Room Heater VH200,64.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,043765013823,"Fan, Electric",Black,,,,Coil,Vornado,,,Portable Heater,"Dial, Rotary Knob, Switch, Touch, Analog/Mechanical",Forced Air/Fan,120 V,VH200,"Floor, Desk/Tabletop",,1001-1500 W,,,"Auto Shut-off, Timer",2,,,,72 in,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Tube Heater Mountable Greenhouse Grow Room, Tent Heating Hydroponics",24.85,44 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,,,,,Grow Gadgets,,,Tube heater,Analog/Mechanical,Radiant,240 V,,"Baseboard, Bulkhead, Cabinet, Desk/Tabletop, Floor, Wall, Window",,,White,Steel,"Overheat Protection, Wall-Mountable",1,,,,,,Greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 1R Personal Space Heater with 2 Heat Settings and Advanced Safe,63.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,043765014509,,Black,Does not apply,,,,Vornado,,,,,,,,,,,,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Single Burner Chimney Tower Paraffin Greenhouse Anti Frost Heater 77018,48.99,84 sold,"['Works well. Only critiscism is that filler is rather small in diameter, and a funnel would be nice included as part of the purchase.', 'Having had a series of heaters that refused to burn properly, if at all, these are excellent. ', 'Spot on thanks', 'The chimney is flimsy had to modify', 'good price', 'The item works well enough but the build quality leaves a bit to be desired , especially where the upright goes into the  fuel tank.', 'Good value, cheap to run.1 Gallon will last 6-7 days', 'Good product supplied by a helpful and willing supplier', 'Does the job', 'Works great and very happy with the item ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Kerosene,,77018,420 mm,,,Apollo,,Die Cast Metal,Tower Heater,,Parafin,0.3kW,77018,"Baseboard, Desk/Tabletop",420 mm,Less Than 10 W,Silver,Steel,Portable,1,,,,,,,,No,1,Up to 100% Heat Efficiency,1 Year,No,7091049476973,26 cm,1 gal or Less (5 L),Single,10 sq m or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Space Heater Pedestal Tower 29"" Electric Ceramic Oscillating W/ Remote",62.45,46 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013764423,,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013764423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
