Title,Price,Sold,Reviews,Condition,Brand,Type,Control Style,Power Source,Heating System,Color,Voltage,Model,Number of Heat Settings,Features,Mounting Location,Power,UPC,Type 1,Material,MPN,EAN,Energy Efficiency Rating,Tank Capacity,Item Length,Area Covered,BTU Heating Rating,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),Year Manufactured,Item Depth,Heating Element Format,Colour,Energy Efficiency Ratio (EER),Cable Length,Item Width,Operating Sound Rating,Custom Bundle,Energy Rating,Air Direction,Manufacturer Warranty,Item model number,Product Dimensions,Item Weight,Heating Method,Item Dimensions LxWxH,ISBN,Power (W),Unit Quantity,Country/Region of Manufacture,Design,Voltage Supply,Manufacturer Part Number,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Cool Fan Setting,Energy Star,Smart Home Protocol,Location,Timer Control,Smart Home Compatibility,Tonnage,Refrigerant,Batteries Required?,Is Discontinued By Manufacturer,Manufacturer,Package Contents,Prop65_fl,Prop65Warning,Gear,Heating element,Heating Wattage,Rated power,Rated voltage,Weight,Length,Height,Current Rating,Size,Hight,Model Number,Package,Piece Count,Product Type,Country Of Origin,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,ItemWidth,ItemLength,ItemHeight,Warranty Description,Assembly Required,Material Care Instructions,Included Components,Video of unit turned on,Heater Style,BU Heating Rating,Annual Fuel Utilization Efficiency/ AFUE,Heater Model Number,Heating Element,Product Weight,Room Heater,Application,Area Heated,Electric Heater,Electric Heater Type,Heater for Home,Suitable for,Wholesale,Use,Thermostat,Item name,Number of Speed Settings,Voltage (V),Ceramic Heating Element,Dropshipping,Size with box,Heater,Warmer Blower,Recommended Environment,Power Type,Heat Output,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Width,Binding,Studio,Scent,Publisher,ProductTypeName,ProductGroup,PackageQuantity,MaterialType,Label,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Key Word,ProductType,Application:,Power supply:,Heater Plug Type:,Heater Type:,Item Type,Installation,House heaters,Home heater,NumberOfItems,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,PackQty,Dimension(ID*H),Power Tolerance,Product Name,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Package Dimensions,Dimension,Timer,Temperature setting,Idle Speed of Fan,New Title,Mounting & Moving,Compressor Type,Manufacturer Color,Country of Origin,Warranty,PRICE,USE,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Add To Watchlist,We Dont Accept PO BOX,Product Height (in),Baseboard Heating Type,Product Depth (in),Heat rating (BTU/hour),Color Family,Hydronic,Product Length (in),Vented,Pack Size,Product Width (in),Product Weight (lb),Heating Product Type,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions
"(2) Whole Room Tower Space Heater, 2 Heat Settings,  Vornado Oscillating Lot",40.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Vornado,Tower Heater,"Digital, Touch",Electric,Forced Air/Fan,Black,120 V,OSCTH1,2,Oscillation,Floor,1001-1500 W,043765013199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/24V/110V/220V 2PCS PTC Heating Element Air Heating Sensor Hair Dryer Heater,22.07,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,PTC thermistor,,,,,12 V,1,,,,,,PTC thermistor,Ceramics,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotatsu heater replacement code 3m with switche SK-3000 Japan Free shipping,41.97,21 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hoshiko,,Switch,,,,,,,,,,4562169760035,,,SK3000,4562169760035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halogen Heater Portable Oscillating Deluxe 3 Heat Settings Office 1200W Watts ,32.99,158 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",SupaWarm,Portable Heater,Rotary Knob,Electric,Radiant,,240 V,SHHD1200A,3,Oscillation,"Baseboard, Floor, Desk/Tabletop",1200 W,,,Ceramic,SHHD1200A,5017193370334,A+++,N/A,705MM,10 sq m or Less,Less Than 2000 BTU,Halogen,A+++ - D,Less Than 80%,2021,300mm,Strip,Black,3 or Less,1.3m,300mm,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Fin Oil Heater 500W 240V Noiseless Compact Electric Energy Efficient - GH1580,54.95,30 sold, ,New,PowerTech,Portable Heater,"Rotary Knob, Switch",Oil,Compact Oil heater,,240 V,GH1580,Variable,Compact,"Desk/Tabletop, Floor",500W,,,Steel,GH1580,,,N/A,425mm,10 sq m or Less,Standard,Steel,,N/A,,27cm,5 Fins,White,,1.4m,13cm,Noiseless,No,Compliant,Radiant,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mini Space Heater, 400W Low Wattage Personal Desk Heater with Tip Over",40.03, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,Corded Electric,,Orange-400W,,,,,,,744759321886,,,,0744759321886,,,,,,,,,,,,,,,,,,,,,PTC-002,6.3 x 3.15 x 6.3 inches,1.48 pounds,Convection,6.3 x 3.15 x 6.3 inches,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ707 Electric Utility Heater 750/1500 Watt,40.0, ,"['Pros:Cranks out so much heat that lower setting is good enough.Cons:* Too small.* Coating on grill began chipping off in a few days.* Heating elements have a dark area in lower quarter, suggesting a short (maybe just mine?)* Carrying handle detached first day (could have dropped to floor).', ""Probably a good size for a hobbit, or a small child's play house.  For adult human, not so much.Within a few weeks the heater began cranking up to HIGH without being told to,and lost the ability to be turned off--had to unplug.Basically a splendid little fire bomb just waiting for its chance to be left unattended for a while. "", 'pros: Showed up within a few days of ordering. Good price, brand new, compact design, decent quality and works well. I use it everyday and if it lasts 6 months I will buy another.cons: The top handle could be bigger and better (obviously not a deal breaker for me). The fan could be a little quieter.over all: A good deal.', ""Purchased this heater 14 years ago and used it every winter since then.  It is small, but BTUs are BTUs regardless of size and it heats my cabin bathroom just fine in the winter.  Mine does not have the newer tip over safety switch.  I've never had any paint chipping issues and it looks as new as it did the day I purchased it. My only complaint is that the heater, hi/lo fan selector switch is very tight to turn, but I've learned to live with it.  The cord is also long enough that I do not need an extension cords which makes portable electrical heaters even more unsafe.  Hope this helps with your decision."", ""small but put's 0ut a lot of heat and runs quietly"", ""This heater is comparable to the older Big Heat cube and the knobs are easier to adjust' I am pleased with both types of heaters because I needed a compact heater.Thi"", 'Great deal', 'Its very small and I need it to warm /dry carpet in a jeep ...', 'A OK ***********************************', 'Compact heater works as advertised. Great low price.']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Comfort Zone,Portable Heater,,"Electric, Fan",,,120 V,CZ707,,,,,075877070708,,,CZ707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERO SUN Toyostove Heater Wick (#20450113) 2pcs,40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KEROSUN,SPACE HEATER,,,,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakerBot Replicator 2x Build Plate Heater KEENOVO Silicone Heating Pad 130W 24V,32.38,45 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KEENOVO,Flexible Heater,,,,,,,,,,,,,,K14802290130024NP,603629513830,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,130W,piece,China,Custom Design Welcome,24V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone PowerGear Portable Ceramic Utility Heater with Pivoting Cradle Base,40.69, , ,,Comfort Zone,Utility Heater Fan,,,,,,CZ285,,,,,627154147087,,,CZ285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZ285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
